kharekartik@tcmailer8.in,root@tcmailer8.in,local,Jul  9 17:09:01,10330,sent (delivered to maildir)
kharekartik@tcmailer8.in,root@tcmailer8.in,local,Jul  9 17:09:01,10330,sent (delivered to maildir)
kharekartik@tcmailer8.in,root@tcmailer8.in,local,Jul  9 17:09:01,10330,sent (delivered to maildir)
kharekartik@tcmailer8.in,root@tcmailer8.in,local,Jul  9 17:09:01,10330,sent (delivered to maildir)
kharekartik@tcmailer8.in,root@tcmailer8.in,local,Jul  9 17:09:01,10330,sent (delivered to maildir)
kharekartik@tcmailer8.in,root@tcmailer8.in,local,Jul  9 17:09:01,10330,sent (delivered to maildir)
kharekartik@tcmailer8.in,root@tcmailer8.in,local,Jul  9 17:09:01,10330,sent (delivered to maildir)
kharekartik@tcmailer8.in,root@tcmailer8.in,local,Jul  9 17:09:01,10330,sent (delivered to maildir)
kharekartik@tcmailer8.in,root@tcmailer8.in,local,Jul  9 17:09:01,10330,sent (delivered to maildir)
kharekartik@tcmailer8.in,root@tcmailer8.in,local,Jul  9 17:09:01,10330,sent (delivered to maildir)
kharekartik@tcmailer8.in,root@tcmailer8.in,local,Jul  9 17:09:01,10330,sent (delivered to maildir)
kharekartik@tcmailer8.in,root@tcmailer8.in,local,Jul  9 17:09:01,10330,sent (delivered to maildir)
kharekartik@tcmailer8.in,root@tcmailer8.in,local,Jul  9 17:09:02,10330,sent (delivered to maildir)
kharekartik@tcmailer8.in,root@tcmailer8.in,local,Jul  9 17:09:02,10330,sent (delivered to maildir)
kharekartik@tcmailer8.in,root@tcmailer8.in,local,Jul  9 17:09:02,10330,sent (delivered to maildir)
kharekartik@tcmailer8.in,root@tcmailer8.in,local,Jul  9 17:09:02,10330,sent (delivered to maildir)
kharekartik@tcmailer8.in,root@tcmailer8.in,local,Jul  9 17:09:02,10330,sent (delivered to maildir)
kharekartik@tcmailer8.in,root@tcmailer8.in,local,Jul  9 17:09:02,10330,sent (delivered to maildir)
kharekartik@tcmailer8.in,root@tcmailer8.in,local,Jul  9 17:09:20,10330,sent (delivered to maildir)
kharekartik@tcmailer8.in,root@tcmailer8.in,local,Jul  9 17:09:20,10330,sent (delivered to maildir)
kharekartik@tcmailer8.in,root@tcmailer8.in,local,Jul  9 17:09:20,10330,sent (delivered to maildir)
kharekartik@tcmailer8.in,root@tcmailer8.in,local,Jul  9 17:09:20,10330,sent (delivered to maildir)
kharekartik@tcmailer8.in,root@tcmailer8.in,local,Jul  9 17:09:20,10330,sent (delivered to maildir)
kharekartik@tcmailer8.in,root@tcmailer8.in,local,Jul  9 17:09:21,10330,sent (delivered to maildir)
